,latitude_ERA,longitude_ERA,MODIS_LST,V15_prediction,V20_prediction,V20X_prediction,V15X_prediction,V15_error,V20_error,V20X_error,V15X_error,delta,deltaX,deltaX15,values,step,surface,latitude,longitude,change_in_cl,V15_cl,V20_cl,percentage_change_in_cl,heightAboveGround,change_in_si10,V15_si10,V20_si10,percentage_change_in_si10,change_in_cvh,V15_cvh,V20_cvh,percentage_change_in_cvh,change_in_cvl,V15_cvl,V20_cvl,percentage_change_in_cvl,change_in_lsm,V15_lsm,V20_lsm,percentage_change_in_lsm,change_in_dl,V15_dl,V20_dl,percentage_change_in_dl,cl_change_is_significant,si10_change_is_significant,cvh_change_is_significant,cvl_change_is_significant,lsm_change_is_significant,dl_change_is_significant,bitstring
2,-70.11704774721858,-72.0,255.9293,258.78256,257.77008,256.4211,257.12466,5.8026323,5.922895,5.8309097,5.843019,0.12026262,0.028277397,0.040386677,525382,0 days,0.0,-70.11704774721858,-72.0,0.0,0.0,0.0,,10.0,0.035217285,0.9647827,1.0,0.036502816,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
3,-70.11704774721858,-71.25,254.78151,258.47974,257.31094,257.04565,257.4657,5.7321925,5.754484,5.60614,5.8624544,0.02229166,-0.12605238,0.1302619,525383,0 days,0.0,-70.11704774721858,-71.25,0.0,0.0,0.0,,10.0,0.04522705,0.95477295,1.0,0.04736943,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0012366772,0.9987633,1.0,0.0012382084,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
4,-70.11704774721858,-70.5,255.27054,258.0359,258.08624,256.97748,259.33514,6.000848,5.888017,6.004581,5.9581914,-0.11283064,0.003733158,-0.04265642,525384,0 days,0.0,-70.11704774721858,-70.5,0.0,0.0,0.0,,10.0,0.19329834,0.80670166,1.0,0.23961565,0.0,0.0,0.0,,0.0,0.0,0.0,,0.07793915,0.92206085,1.0,0.08452713,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
5,-70.11704774721858,-69.75,254.16092,254.95699,255.06876,253.59515,255.63495,6.404216,6.1793065,6.414968,5.986069,-0.2249093,0.010752201,-0.4181466,525385,0 days,0.0,-70.11704774721858,-69.75,0.0,0.0,0.0,,10.0,0.36431885,0.63568115,1.0,0.5731157,0.0,0.0,0.0,,0.0,0.0,0.0,,4.339218e-05,0.9999566,1.0,4.3394066e-05,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
6,-70.11704774721858,-69.0,255.50772,253.97368,254.69585,253.85544,257.95596,5.693578,5.600639,5.9597726,4.5224924,-0.0929389,0.26619482,-1.1710854,525386,0 days,0.0,-70.11704774721858,-69.0,1.21593475e-05,0.0,1.21593475e-05,inf,10.0,-0.14215088,0.971405,0.82925415,-0.14633533,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.022213459,0.85238934,0.8301759,-0.026060225,87.90332,25.0,112.90332,3.5161328,False,True,False,False,False,True,000101
7,-70.11704774721858,-68.25,256.72638,259.0851,258.23886,257.13788,258.96948,5.321282,5.7441783,5.48048,5.6488566,0.4228964,0.15919828,0.32757473,525387,0 days,0.0,-70.11704774721858,-68.25,7.069111e-05,0.0,7.069111e-05,inf,10.0,0.19415283,0.73532104,0.9294739,0.26403818,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.067617774,0.9987862,0.93116844,-0.06769995,-14.439453,25.0,10.560547,-0.5775781,False,True,False,False,False,True,000101
8,-70.11704774721858,-67.5,254.87177,257.7854,256.99197,256.8513,256.8683,5.261852,5.2837777,5.1070385,5.0753446,0.021925926,-0.15481329,-0.18650723,525388,0 days,0.0,-70.11704774721858,-67.5,0.0,0.0,0.0,,10.0,0.23654175,0.76345825,1.0,0.30982932,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
16,-70.11704774721858,-61.5,253.09436,251.56233,249.63103,249.87007,251.6011,4.09107,5.1727476,5.0529823,4.024219,1.0816774,0.96191216,-0.06685114,525396,0 days,0.0,-70.11704774721858,-61.5,0.0,0.0,0.0,,10.0,0.003326416,0.9966736,1.0,0.003337518,0.0,0.0,0.0,,0.0,0.0,0.0,,0.039381504,0.9606185,1.0,0.04099599,-14.996094,25.0,10.003906,-0.59984374,False,False,False,False,False,True,000100
24,-70.11704774721858,36.0,253.90321,251.98619,251.17085,251.30272,252.05235,4.452885,5.175524,4.9097753,4.2751017,0.7226391,0.4568901,-0.17778349,525046,0 days,0.0,-70.11704774721858,36.0,0.0,0.0,0.0,,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
27,-70.11704774721858,38.25,256.55875,255.59192,254.5159,253.93399,255.0226,5.06057,5.9307203,6.2358437,5.46878,0.87015057,1.1752739,0.40821028,525049,0 days,0.0,-70.11704774721858,38.25,0.0,0.0,0.0,,10.0,0.16156006,0.83843994,1.0,0.19269127,0.0,0.0,0.0,,0.0,0.0,0.0,,0.013348341,0.98665166,1.0,0.01352893,-12.072266,25.0,12.927734,-0.48289064,False,True,False,False,False,True,000101
72,-70.11704774721858,75.0,255.32942,252.54982,251.93599,251.42032,252.84576,4.9928637,5.630052,5.8118253,4.6602063,0.63718843,0.8189616,-0.33265734,525098,0 days,0.0,-70.11704774721858,75.0,0.0,0.0,0.0,,10.0,0.00036621094,0.9996338,1.0,0.0003663451,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-14.817383,25.0,10.182617,-0.5926953,False,False,False,False,False,True,000100
186,-70.11704774721858,160.5,250.63605,251.84917,251.87903,251.71585,250.91986,4.4753094,5.181705,5.143343,5.3216863,0.7063956,0.6680336,0.8463769,525212,0 days,0.0,-70.11704774721858,160.5,0.00019276142,0.0,0.00019276142,inf,10.0,0.10983276,0.6700134,0.7798462,0.16392621,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0402323,0.7378259,0.7780582,0.054528177,10.541016,25.0,35.541016,0.42164063,False,True,False,False,False,True,000101
189,-69.8360180326378,-74.25,256.06287,260.1952,259.72073,258.947,258.97647,5.949919,5.7180767,6.0333614,5.9584765,-0.23184252,0.08344221,0.00855732,524899,0 days,0.0,-69.8360180326378,-74.25,3.0517578e-05,0.0,3.0517578e-05,inf,10.0,0.0019226074,0.06881714,0.070739746,0.027937915,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.132182,0.2061044,0.073922396,-0.6413352,-20.695312,139.77539,119.08008,-0.1480612,False,False,False,False,True,True,000110
190,-69.8360180326378,-72.0,254.30663,259.72745,259.10507,258.16763,258.30667,7.194923,6.9254274,6.527589,7.1832843,-0.2694955,-0.6673341,-0.011638641,524902,0 days,0.0,-69.8360180326378,-72.0,0.0,0.0,0.0,,10.0,0.026031494,0.9739685,1.0,0.026727244,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.00025320053,0.9990959,0.9988427,-0.00025342967,-14.824219,25.0,10.175781,-0.59296876,False,False,False,False,False,True,000100
191,-69.8360180326378,-71.25,255.41211,256.3104,258.4394,256.4957,258.21524,6.513307,6.116673,6.2996387,6.172443,-0.3966341,-0.21366835,-0.34086418,524903,0 days,0.0,-69.8360180326378,-71.25,0.0,0.0,0.0,,10.0,0.21240234,0.78759766,1.0,0.2696838,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
